human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
oluwasegun,adam,cifar100,mlp,2,false,false,false,false,0,10,5,cuda,4,-0.35012000000000004,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,false,false,false,false,0,10,5,cuda,4,-0.52859,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,false,false,false,false,0,10,5,cuda,4,-0.39219000000000004,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,false,false,false,true,0,10,5,cuda,4,-0.33543,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,false,false,false,true,0,10,5,cuda,4,-0.498289999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,false,false,false,true,0,10,5,cuda,4,-0.37714000000000003,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,layer,false,false,false,0,10,5,cuda,4,-0.32018,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,layer,false,false,false,0,10,5,cuda,4,-0.36306000000000005,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,layer,false,false,false,0,10,5,cuda,4,-0.36002,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,layer,false,false,true,0,10,5,cuda,4,-0.32574000000000003,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,layer,false,false,true,0,10,5,cuda,4,-0.36673000000000006,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,layer,false,false,true,0,10,5,cuda,4,-0.35651000000000005,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,batch,false,false,false,0,10,5,cuda,4,-0.29286,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,batch,false,false,false,0,10,5,cuda,4,-0.321939999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,batch,false,false,false,0,10,5,cuda,4,-0.30310999999999905,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,batch,false,false,true,0,10,5,cuda,4,-0.28119,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,batch,false,false,true,0,10,5,cuda,4,-0.31943000000000005,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,batch,false,false,true,0,10,5,cuda,4,-0.30428000000000005,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,false,false,wdecay,false,0,10,5,cuda,4,-0.34556000000000003,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,false,false,wdecay,false,0,10,5,cuda,4,-0.510729999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,false,false,wdecay,false,0,10,5,cuda,4,-0.36744000000000004,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,false,false,wdecay,true,0,10,5,cuda,4,-0.34102000000000005,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,false,false,wdecay,true,0,10,5,cuda,4,-0.4525,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,false,false,wdecay,true,0,10,5,cuda,4,-0.41748999999999903,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,layer,false,wdecay,false,0,10,5,cuda,4,-0.31404000000000004,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,layer,false,wdecay,false,0,10,5,cuda,4,-0.370859999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,layer,false,wdecay,false,0,10,5,cuda,4,-0.35415,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,layer,false,wdecay,true,0,10,5,cuda,4,-0.319609999999999,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,layer,false,wdecay,true,0,10,5,cuda,4,-0.35618000000000005,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,layer,false,wdecay,true,0,10,5,cuda,4,-0.347769999999999,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,batch,false,wdecay,false,0,10,5,cuda,4,-0.28256000000000003,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,batch,false,wdecay,false,0,10,5,cuda,4,-0.32891000000000004,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,batch,false,wdecay,false,0,10,5,cuda,4,-0.29934000000000005,0,0.001953125
oluwasegun,adam,cifar100,mlp,2,batch,false,wdecay,true,0,10,5,cuda,4,-0.27577,0,0.001953125
oluwasegun,sgd,cifar100,mlp,2,batch,false,wdecay,true,0,10,5,cuda,4,-0.30935,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,2,batch,false,wdecay,true,0,10,5,cuda,4,-0.30279,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,false,false,false,false,0,10,5,cuda,4,-0.39849,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,false,false,false,false,0,10,5,cuda,4,-0.53764,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,false,false,false,false,0,10,5,cuda,4,-0.43925000000000003,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,false,false,false,true,0,10,5,cuda,4,-0.322739999999999,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,false,false,false,true,0,10,5,cuda,4,-0.461219999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,false,false,false,true,0,10,5,cuda,4,-0.40966,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,layer,false,false,false,0,10,5,cuda,4,-0.44010999999999906,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,layer,false,false,false,0,10,5,cuda,4,-0.45718000000000003,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,layer,false,false,false,0,10,5,cuda,4,-0.45222,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,layer,false,false,true,0,10,5,cuda,4,-0.40634999999999905,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,layer,false,false,true,0,10,5,cuda,4,-0.441959999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,layer,false,false,true,0,10,5,cuda,4,-0.4153,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,batch,false,false,false,0,10,5,cuda,4,-0.4259,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,batch,false,false,false,0,10,5,cuda,4,-0.45154000000000005,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,batch,false,false,false,0,10,5,cuda,4,-0.440059999999999,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,batch,false,false,true,0,10,5,cuda,4,-0.33504,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,batch,false,false,true,0,10,5,cuda,4,-0.38980000000000004,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,batch,false,false,true,0,10,5,cuda,4,-0.35484000000000004,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,false,false,wdecay,false,0,10,5,cuda,4,-0.370909999999999,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,false,false,wdecay,false,0,10,5,cuda,4,-0.512359999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,false,false,wdecay,false,0,10,5,cuda,4,-0.435689999999999,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,false,false,wdecay,true,0,10,5,cuda,4,-0.303909999999999,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,false,false,wdecay,true,0,10,5,cuda,4,-0.44343000000000005,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,false,false,wdecay,true,0,10,5,cuda,4,-0.363249999999999,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,layer,false,wdecay,false,0,10,5,cuda,4,-0.43241,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,layer,false,wdecay,false,0,10,5,cuda,4,-0.47557999999999906,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,layer,false,wdecay,false,0,10,5,cuda,4,-0.44630999999999904,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,layer,false,wdecay,true,0,10,5,cuda,4,-0.39807000000000003,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,layer,false,wdecay,true,0,10,5,cuda,4,-0.4456,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,layer,false,wdecay,true,0,10,5,cuda,4,-0.41816000000000003,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,batch,false,wdecay,false,0,10,5,cuda,4,-0.42105000000000004,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,batch,false,wdecay,false,0,10,5,cuda,4,-0.448619999999999,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,batch,false,wdecay,false,0,10,5,cuda,4,-0.43554000000000004,0,0.001953125
oluwasegun,adam,cifar100,mlp,6,batch,false,wdecay,true,0,10,5,cuda,4,-0.32805,0,0.001953125
oluwasegun,sgd,cifar100,mlp,6,batch,false,wdecay,true,0,10,5,cuda,4,-0.37976000000000004,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,6,batch,false,wdecay,true,0,10,5,cuda,4,-0.35408,0,0.001953125
oluwasegun,adam,cifar100,mlp,20,false,false,false,false,0,10,5,cuda,4,-0.99,0,0.001953125
oluwasegun,sgd,cifar100,mlp,20,false,false,false,false,0,10,5,cuda,4,-0.99,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,20,false,false,false,false,0,10,5,cuda,4,-0.99,0,0.001953125
oluwasegun,adam,cifar100,mlp,20,false,false,false,true,0,10,5,cuda,4,-0.37261000000000005,0,0.001953125
oluwasegun,sgd,cifar100,mlp,20,false,false,false,true,0,10,5,cuda,4,-0.46717999999999904,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,20,false,false,false,true,0,10,5,cuda,4,-0.38568,0,0.001953125
oluwasegun,adam,cifar100,mlp,20,layer,false,false,false,0,10,5,cuda,4,-0.561,0,0.001953125
oluwasegun,sgd,cifar100,mlp,20,layer,false,false,false,0,10,5,cuda,4,-0.8356600000000001,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,20,layer,false,false,false,0,10,5,cuda,4,-0.8784000000000001,0,0.001953125
oluwasegun,adam,cifar100,mlp,20,layer,false,false,true,0,10,5,cuda,4,-0.43207,0,0.001953125
oluwasegun,sgd,cifar100,mlp,20,layer,false,false,true,0,10,5,cuda,4,-0.46087000000000006,0,0.001953125
oluwasegun,sgdmom,cifar100,mlp,20,layer,false,false,true,0,10,5,cuda,4,-0.4499,0,0.001953125
oluwasegun,adam,cifar100,mlp,20,batch,false,false,false,0,10,5,cuda,4,-0.6949500000000001,0,0.001953125
oluwasegun,sgd,cifar100,mlp,20,batch,false,false,false,0,10,5,cuda,4,-0.7363900000000001,0,0.001953125
