human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
apurva,adam,fmnist,mlp,2,false,false,false,false,0,25,5,cuda,4,0.80913,0,0.001953125
apurva,sgd,fmnist,mlp,2,false,false,false,false,0,25,5,cuda,4,0.7995300000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,false,false,false,false,0,25,5,cuda,4,0.818269999999999,0,0.001953125
apurva,adam,fmnist,mlp,2,false,false,false,true,0,25,5,cuda,4,0.8140200000000001,0,0.001953125
apurva,sgd,fmnist,mlp,2,false,false,false,true,0,25,5,cuda,4,0.8151,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,false,false,false,true,0,25,5,cuda,4,0.81598,0,0.001953125
apurva,adam,fmnist,mlp,2,layer,false,false,false,0,25,5,cuda,4,0.80776,0,0.001953125
apurva,sgd,fmnist,mlp,2,layer,false,false,false,0,25,5,cuda,4,0.7977500000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,layer,false,false,false,0,25,5,cuda,4,0.8105800000000001,0,0.001953125
apurva,adam,fmnist,mlp,2,layer,false,false,true,0,25,5,cuda,4,0.8061200000000001,0,0.001953125
apurva,sgd,fmnist,mlp,2,layer,false,false,true,0,25,5,cuda,4,0.8106499999999991,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,layer,false,false,true,0,25,5,cuda,4,0.81015,0,0.001953125
apurva,adam,fmnist,mlp,6,batch,false,false,false,0,25,5,cuda,4,0.7647900000000001,0,0.001953125
apurva,sgd,fmnist,mlp,6,batch,false,false,false,0,25,5,cuda,4,0.77827,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,batch,false,false,false,0,25,5,cuda,4,0.7775699999999991,0,0.001953125
apurva,adam,fmnist,mlp,2,batch,false,false,true,0,25,5,cuda,4,0.8096499999999991,0,0.001953125
apurva,sgd,fmnist,mlp,2,batch,false,false,true,0,25,5,cuda,4,0.804049999999999,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,batch,false,false,true,0,25,5,cuda,4,0.80976,0,0.001953125
apurva,adam,fmnist,mlp,2,false,false,wdecay,false,0,25,5,cuda,4,0.80569,0,0.001953125
apurva,sgd,fmnist,mlp,2,false,false,wdecay,false,0,25,5,cuda,4,0.79776,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,false,false,wdecay,false,0,25,5,cuda,4,0.8142800000000001,0,0.001953125
apurva,adam,fmnist,mlp,2,false,false,wdecay,true,0,25,5,cuda,4,0.8132400000000001,0,0.001953125
apurva,sgd,fmnist,mlp,2,false,false,wdecay,true,0,25,5,cuda,4,0.8100900000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,false,false,wdecay,true,0,25,5,cuda,4,0.81415,0,0.001953125
