human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
apurva,adam,mnist,mlp,2,false,false,false,false,0,25,5,cuda,4,0.9636600000000001,0,0.001953125
apurva,sgd,mnist,mlp,2,false,false,false,false,0,25,5,cuda,4,0.96291,0,0.001953125
apurva,sgdmom,mnist,mlp,2,false,false,false,false,0,25,5,cuda,4,0.96257,0,0.001953125
apurva,adam,mnist,mlp,2,false,false,false,true,0,25,5,cuda,4,0.9636600000000001,0,0.001953125
apurva,sgd,mnist,mlp,2,false,false,false,true,0,25,5,cuda,4,0.96291,0,0.001953125
apurva,sgdmom,mnist,mlp,2,false,false,false,true,0,25,5,cuda,4,0.96257,0,0.001953125
apurva,adam,mnist,mlp,2,layer,false,false,true,0,25,5,cuda,4,0.9607,0,0.001953125
apurva,sgd,mnist,mlp,2,layer,false,false,true,0,25,5,cuda,4,0.9617699999999991,0,0.001953125
apurva,sgdmom,mnist,mlp,2,layer,false,false,true,0,25,5,cuda,4,0.9625600000000001,0,0.001953125
apurva,adam,mnist,mlp,2,batch,false,false,true,0,25,5,cuda,4,0.943689999999999,0,0.001953125
apurva,sgd,mnist,mlp,2,batch,false,false,true,0,25,5,cuda,4,0.94918,0,0.001953125
apurva,sgdmom,mnist,mlp,2,batch,false,false,true,0,25,5,cuda,4,0.9513599999999991,0,0.001953125
apurva,adam,mnist,mlp,2,false,false,wdecay,true,0,25,5,cuda,4,0.9650700000000001,0,0.001953125
apurva,sgd,mnist,mlp,2,false,false,wdecay,true,0,25,5,cuda,4,0.9625,0,0.001953125
apurva,sgdmom,mnist,mlp,2,false,false,wdecay,true,0,25,5,cuda,4,0.9627300000000001,0,0.001953125
apurva,adam,mnist,mlp,2,layer,false,wdecay,true,0,25,5,cuda,4,0.9629400000000001,0,0.001953125
apurva,sgd,mnist,mlp,2,layer,false,wdecay,true,0,25,5,cuda,4,0.9631000000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,2,layer,false,wdecay,true,0,25,5,cuda,4,0.9621699999999991,0,0.001953125
apurva,adam,mnist,mlp,2,batch,false,wdecay,true,0,25,5,cuda,4,0.9563799999999991,0,0.001953125
apurva,sgd,mnist,mlp,2,batch,false,wdecay,true,0,25,5,cuda,4,0.9523400000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,2,batch,false,wdecay,true,0,25,5,cuda,4,0.9517700000000001,0,0.001953125
apurva,adam,mnist,mlp,6,false,false,false,true,0,25,5,cuda,4,0.9572400000000001,0,0.001953125
apurva,sgd,mnist,mlp,6,false,false,false,true,0,25,5,cuda,4,0.96252,0,0.001953125
apurva,sgdmom,mnist,mlp,6,false,false,false,true,0,25,5,cuda,4,0.9564799999999991,0,0.001953125
apurva,adam,mnist,mlp,6,batch,false,false,true,0,25,5,cuda,4,0.9441,0,0.001953125
apurva,sgd,mnist,mlp,6,batch,false,false,true,0,25,5,cuda,4,0.9546700000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,6,batch,false,false,true,0,25,5,cuda,4,0.9538800000000001,0,0.001953125
apurva,adam,mnist,mlp,6,false,false,wdecay,false,0,25,5,cuda,4,0.94591,0,0.001953125
apurva,sgd,mnist,mlp,6,false,false,wdecay,false,0,25,5,cuda,4,0.9226300000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,6,false,false,wdecay,false,0,25,5,cuda,4,0.9478700000000001,0,0.001953125
apurva,adam,mnist,mlp,6,false,false,wdecay,true,0,25,5,cuda,4,0.9518900000000001,0,0.001953125
apurva,sgd,mnist,mlp,6,false,false,wdecay,true,0,25,5,cuda,4,0.9203600000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,6,false,false,wdecay,true,0,25,5,cuda,4,0.9624600000000001,0,0.001953125
apurva,adam,mnist,mlp,6,layer,false,wdecay,false,0,25,5,cuda,4,0.955689999999999,0,0.001953125
apurva,sgd,mnist,mlp,6,layer,false,wdecay,false,0,25,5,cuda,4,0.96735,0,0.001953125
