human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
nischal,adam,svhn,mlp,2,false,false,false,false,0,10,5,cuda,6,0.204717271051014,0,0.001953125
nischal,sgd,svhn,mlp,2,false,false,false,false,0,10,5,cuda,6,0.10876997541487401,0,0.001953125
nischal,sgdmom,svhn,mlp,2,false,false,false,false,0,10,5,cuda,6,0.31574984634296205,0,0.001953125
nischal,adam,svhn,mlp,2,false,false,false,true,0,10,5,cuda,6,0.275495543945912,0,0.001953125
nischal,sgd,svhn,mlp,2,false,false,false,true,0,10,5,cuda,6,0.090423325138291,0,0.001953125
nischal,sgdmom,svhn,mlp,2,false,false,false,true,0,10,5,cuda,6,0.265818992009834,0,0.001953125
nischal,adam,svhn,mlp,2,layer,false,false,false,0,10,5,cuda,6,0.7266556545789791,0,0.001953125
nischal,sgd,svhn,mlp,2,layer,false,false,false,0,10,5,cuda,6,0.703657037492317,0,0.001953125
nischal,sgdmom,svhn,mlp,2,layer,false,false,false,0,10,5,cuda,6,0.717090503995082,0,0.001953125
nischal,adam,svhn,mlp,2,layer,false,false,true,0,10,5,cuda,6,0.722184234787953,0,0.001953125
nischal,sgd,svhn,mlp,2,layer,false,false,true,0,10,5,cuda,6,0.6908420405654581,0,0.001953125
nischal,sgdmom,svhn,mlp,2,layer,false,false,true,0,10,5,cuda,6,0.721584972341733,0,0.001953125
nischal,adam,svhn,mlp,2,batch,false,false,false,0,10,5,cuda,6,0.6617970190534721,0,0.001953125
nischal,sgd,svhn,mlp,2,batch,false,false,false,0,10,5,cuda,6,0.46054087277197303,0,0.001953125
nischal,sgdmom,svhn,mlp,2,batch,false,false,false,0,10,5,cuda,6,0.642355562384757,0,0.001953125
nischal,adam,svhn,mlp,2,batch,false,false,true,0,10,5,cuda,6,0.6858942839582051,0,0.001953125
nischal,sgd,svhn,mlp,2,batch,false,false,true,0,10,5,cuda,6,0.415004609711124,0,0.001953125
